id_karyawan,nama_karyawan,div_karyawan
EK-3,Manah Utami,Operations
EK-2,"Ilsa Mardhiyah, S.Farm",HR
EK-17,Darsirah Tampubolon,Operations
EK-197,Ismail Wijayanti,IT
EK-143,Usyi Hasanah,Research
EK-158,"R.M. Cager Winarno, S.Psi",Legal
EK-49,"Ophelia Habibi, M.Pd",Research
EK-198,Elvina Padmasari,IT
EK-159,Kasiyah Hidayat,Sales
EK-136,"R.M. Marsudi Puspita, S.Sos",Research
EK-87,"Ratna Budiyanto, S.T.",Finance
EK-127,"Betania Handayani, S.Sos",Finance
EK-140,drg. Balangga Situmorang,Operations
EK-185,"Kamaria Mustofa, M.Kom.",Research
EK-29,"Ir. Kawaca Pradipta, S.T.",IT
EK-73,Garang Uwais,Research
EK-51,Zizi Mandala,IT
EK-125,"Jono Maulana, S.IP",Legal
EK-82,"Kania Suartini, S.Kom",Finance
EK-5,"Almira Prasasta, S.Ked",HR
EK-171,Jaeman Lailasari,Sales
EK-189,Tgk. Irwan Jailani,Sales
EK-76,"Aurora Aryani, S.T.",Legal
EK-23,Cut Siska Rahimah,Marketing
EK-32,"Sutan Ozy Andriani, M.TI.",Research
EK-160,Clara Nainggolan,Research
EK-86,"Dinda Uwais, S.Psi",Sales
EK-135,"Cut Raisa Suryatmi, S.Farm",IT
EK-20,Ana Permadi,Operations
EK-95,"R. Hairyanto Puspasari, M.M.",Legal
EK-108,Yessi Mandasari,Operations
EK-161,Hani Yuliarti,Marketing
EK-68,Sakura Mangunsong,HR
EK-15,Kartika Pradipta,Marketing
EK-60,"Garda Halimah, S.T.",Finance
EK-170,"Dt. Galih Wastuti, S.T.",Operations
EK-97,"Kunthara Prakasa, M.TI.",IT
EK-164,"KH. Baktiadi Yolanda, S.Pt",Research
EK-92,Dr. Wira Nurdiyanti,Marketing
EK-168,Yani Sihotang,Operations
EK-37,Johan Saputra,Operations
EK-155,,IT
EK-118,"Hana Maheswara, S.Ked",Sales
EK-157,Harto Purnawati,Marketing
EK-62,Ciaobella Hastuti,HR
EK-100,"KH. Eka Purnawati, M.Ak",IT
EK-81,Dt. Jayadi Pratiwi,Sales
EK-99,Violet Nababan,IT
EK-131,Anggabaya Prastuti,Sales
EK-152,Hafshah Winarsih,Marketing
EK-149,drg. Silvia Mustofa,Finance
EK-178,Caket Suwarno,Operations
EK-184,"Widya Sitompul, S.Kom",Operations
EK-33,Tiara Anggriawan,Legal
EK-41,dr. Ani Maheswara,HR
EK-102,Ella Sitorus,
EK-132,"Dr. Ajeng Puspasari, S.Gz",Operations
EK-45,"Tgk. Puti Ardianto, S.H.",Marketing
EK-153,Sutan Darmaji Pangestu,HR
EK-22,Panji Maryati,IT
EK-88,Asman Utama,Sales
EK-58,"Dr. Ida Hutapea, S.E.",Marketing
EK-6,Salwa Tarihoran,Legal
EK-9,Hardi Setiawan,Research
EK-133,Lintang Setiawan,IT
EK-145,Hani Pudjiastuti,Finance
EK-46,Jatmiko Purnawati,Operations
EK-142,Kusuma Yolanda,Sales
EK-40,Restu Lazuardi,IT
EK-93,,Sales
EK-156,"Tami Marpaung, S.E.I",Legal
EK-28,Simon Iswahyudi,Sales
EK-10,T. Jais Firmansyah,IT
EK-147,Gadang Maryati,Research
EK-38,Salimah Mangunsong,Research
EK-179,Cahyono Saefullah,Research
EK-172,"Cut Uchita Winarsih, S.Psi",IT
EK-169,Hj. Hilda Saragih,HR
EK-137,Najwa Pudjiastuti,IT
EK-1,,Finance
EK-90,"Drs. Michelle Agustina, M.Pd",Research
EK-26,,Legal
EK-195,Juli Wulandari,Marketing
EK-59,Suci Sihombing,Operations
EK-141,Ella Sudiati,Marketing
EK-193,Siti Nashiruddin,Sales
EK-183,Lasmono Manullang,IT
EK-162,"Tgk. Nurul Sihombing, S.H.",IT
EK-146,Julia Maulana,HR
EK-77,Gantar Hariyah,Legal
EK-30,Sakti Uwais,Sales
EK-167,"drg. Laswi Wacana, S.H.",Finance
EK-55,Padmi Purwanti,Sales
EK-79,"T. Unggul Laksita, S.H.",IT
EK-175,Tami Pratiwi,HR
EK-124,Nilam Megantara,IT
EK-27,Empluk Kusmawati,IT
EK-138,"Yusuf Nasyiah, S.IP",Operations
EK-182,"dr. Usyi Susanti, S.Farm",Research
EK-44,Kayun Santoso,IT
EK-139,Gandewa Suryono,
EK-75,"Tirta Thamrin, M.Kom.",IT
EK-85,"Puji Natsir, M.Kom.",Operations
EK-11,Elvina Irawan,Sales
EK-7,"Edi Farida, M.Kom.",Operations
EK-84,Martana Namaga,IT
EK-31,Rachel Winarno,Operations
EK-117,"Sakura Manullang, M.Pd",Marketing
