customer_id,customer_name,gmail
D-C354,Anggabaya Tarihoran,anggabaya.939@gmail.com
D-C627,"Dr. Calista Napitupulu, S.IP",dr..754@gmail.com
D-C330,"dr. Galih Winarno, S.T.",dr..213@gmail.com
D-C621,"R. Amelia Suwarno, S.Psi",r..271@gmail.com
D-C400,Salwa Wibowo,salwa.664@gmail.com
D-C444,Hamima Riyanti,hamima.465@gmail.com
D-C275,"Jelita Mandasari, S.H.",jelita.881@gmail.com
D-C530,"Ulya Fujiati, S.E.I",ulya.243@gmail.com
D-C359,Safina Utama,safina.171@gmail.com
D-C269,Ika Pertiwi,ika.968@gmail.com
D-C82,Uda Dabukke,uda.319@gmail.com
D-C426,"Calista Kuswandari, S.T.",calista.641@gmail.com
D-C643,Martaka Pangestu,martaka.707@gmail.com
D-C24,Ir. Rini Wibisono,ir..353@gmail.com
D-C174,"Melinda Nababan, S.E.I",melinda.793@gmail.com
D-C66,"drg. Ade Siregar, M.Pd",drg..567@gmail.com
D-C481,H. Bagiya Narpati,h..585@gmail.com
D-C105,Teguh Tamba,teguh.647@gmail.com
D-C242,dr. Hafshah Tampubolon,dr..241@gmail.com
D-C458,"Rina Anggraini, S.Sos",rina.470@gmail.com
D-C540,KH. Jamal Firmansyah,kh..818@gmail.com
D-C480,Hj. Cinta Nababan,hj..174@gmail.com
D-C623,Halima Wahyudin,halima.681@gmail.com
D-C224,Lidya Aryani,lidya.192@gmail.com
D-C312,Betania Megantara,betania.382@gmail.com
D-C133,Dr. Rina Halimah,dr..642@gmail.com
D-C70,Pranawa Narpati,pranawa.388@gmail.com
D-C600,Heru Safitri,heru.274@gmail.com
D-C420,"drg. Pia Anggriawan, S.E.",drg..677@gmail.com
D-C48,"T. Ghani Laksita, S.Farm",t..982@gmail.com
D-C9,KH. Prima Puspita,kh..914@gmail.com
D-C60,Pangestu Haryanto,pangestu.332@gmail.com
D-C572,Drs. Harto Sitorus,drs..647@gmail.com
D-C656,dr. Amalia Halim,dr..505@gmail.com
D-C57,Wawan Purwanti,wawan.765@gmail.com
D-C308,Lurhur Astuti,lurhur.323@gmail.com
D-C384,Simon Yolanda,simon.664@gmail.com
D-C599,Ilsa Nurdiyanti,ilsa.174@gmail.com
D-C449,"Melinda Yulianti, M.M.",melinda.345@gmail.com
D-C20,Juli Farida,juli.603@gmail.com
D-C342,"KH. Adhiarja Pranowo, S.Kom",kh..238@gmail.com
D-C580,Unjani Winarno,unjani.840@gmail.com
D-C609,"Hana Wahyudin, M.TI.",hana.929@gmail.com
D-C173,"Cici Megantara, S.E.I",cici.782@gmail.com
D-C364,"Nabila Mayasari, M.M.",nabila.979@gmail.com
D-C225,Jaswadi Jailani,jaswadi.838@gmail.com
D-C112,Pranata Gunawan,pranata.673@gmail.com
D-C378,Rahman Suryatmi,rahman.735@gmail.com
D-C448,Oni Wijaya,oni.996@gmail.com
D-C413,"Tgk. Natalia Wulandari, S.Gz",tgk..396@gmail.com
D-C118,Drs. Soleh Manullang,drs..462@gmail.com
D-C334,Novi Andriani,novi.723@gmail.com
D-C61,"Irfan Nashiruddin, M.Farm",irfan.814@gmail.com
D-C636,Taswir Melani,taswir.139@gmail.com
D-C513,"dr. Anita Rahimah, S.Kom",dr..461@gmail.com
D-C375,Danuja Permadi,danuja.419@gmail.com
D-C149,Wawan Sinaga,wawan.275@gmail.com
D-C121,"Bella Nashiruddin, M.Pd",bella.681@gmail.com
D-C190,Almira Manullang,almira.414@gmail.com
D-C58,Hj. Winda Pudjiastuti,hj..342@gmail.com
D-C361,"dr. Kamal Yuniar, M.TI.",dr..272@gmail.com
D-C631,Siska Mayasari,siska.895@gmail.com
D-C188,Safina Haryanti,safina.824@gmail.com
D-C181,"Jaeman Putra, S.Farm",jaeman.374@gmail.com
D-C36,"R. Asman Puspasari, M.Pd",r..940@gmail.com
D-C362,Putri Palastri,putri.363@gmail.com
D-C578,Hamima Prabowo,hamima.898@gmail.com
D-C102,Ayu Kurniawan,ayu.695@gmail.com
D-C274,Lili Suwarno,lili.660@gmail.com
