customer_id,customer_name,gmail
E-C1,"Ulya Zulkarnain, S.Kom",Ulyaz08@gmail.com
E-C2,Titi Saptono,titi.140@gmail.com
E-C3,"Kambali Adriansyah, S.I.Kom",kambali.350@gmail.com
E-C4,Septi Astuti,septi.749@gmail.com
E-C5,Lidya Sihotang,lidya.223@gmail.com
E-C6,"Budi Hutasoit, S.E.",budi.162@gmail.com
E-C7,Cici Mulyani,cici.647@gmail.com
E-C8,"Hesti Maulana, S.Ked",hesti.803@gmail.com
E-C9,Umaya Permata,umaya.893@gmail.com
E-C10,Zulaikha Lazuardi,zulaikha.478@gmail.com
E-C11,Gaman Hartati,gaman.138@gmail.com
E-C12,Rafi Yulianti,rafi.727@gmail.com
E-C13,Mursinin Najmudin,mursinin.373@gmail.com
E-C14,"Galiono Farida, S.Ked",galiono.851@gmail.com
E-C15,Jelita Mansur,jelita.768@gmail.com
E-C16,"H. Anom Usada, S.Farm",anom.504@gmail.com
E-C17,Uchita Widiastuti,uchita.921@gmail.com
E-C18,Ghani Hidayanto,ghani.648@gmail.com
E-C19,Kanda Maheswara,kanda.170@gmail.com
E-C20,Kenes Halim,kenes.892@gmail.com
E-C21,Dt. Cagak Puspasari,Cagakpuspa566@gmail.com
E-C22,Ade Hardiansyah,ade.833@gmail.com
E-C23,Rina Nurdiyanti,rina.299@gmail.com
E-C24,Argono Lazuardi,argono.681@gmail.com
E-C25,"Dr. Halima Hastuti, S.Pd",Halima.998@gmail.com
E-C26,Hj. Ghaliyati Habibi,hj..209@gmail.com
E-C27,"Salimah Agustina, S.Sos",salimah.798@gmail.com
E-C28,Alika Rajata,alika.666@gmail.com
E-C29,Najib Saefullah,najib.524@gmail.com
E-C30,"Olivia Mansur, S.E.",olivia.474@gmail.com
E-C31,"R.A. Suci Suwarno, S.Psi",r.a..688@gmail.com
E-C32,"Maimunah Dabukke, S.E.",maimunah.628@gmail.com
E-C33,dr. Safina Usada,dr..474@gmail.com
E-C34,Nadine Kurniawan,nadine.883@gmail.com
E-C35,Calista Hasanah,calista.936@gmail.com
E-C36,"R. Dian Lailasari, M.Kom.",dian.454@gmail.com
E-C37,Umi Sitompul,umi.997@gmail.com
